date,country,values
1995-03-31 00:00:00,EU15,17897.2
1995-03-31 00:00:00,V3,2949.8
1995-03-31 00:00:00,HU,3499.0
1995-03-31 00:00:00,CZ,4073.1
1995-03-31 00:00:00,SK,2649.6
1995-03-31 00:00:00,PL,2688.5
1995-06-30 00:00:00,EU15,18017.5
1995-06-30 00:00:00,V3,3036.3
1995-06-30 00:00:00,HU,3303.3
1995-06-30 00:00:00,CZ,4175.5
1995-06-30 00:00:00,SK,2928.7
1995-06-30 00:00:00,PL,2743.9
1995-09-30 00:00:00,EU15,18299.1
1995-09-30 00:00:00,V3,3152.8
1995-09-30 00:00:00,HU,3344.3
1995-09-30 00:00:00,CZ,4369.2
1995-09-30 00:00:00,SK,2758.3
1995-09-30 00:00:00,PL,2879.8
1995-12-31 00:00:00,EU15,18455.2
1995-12-31 00:00:00,V3,3125.0
1995-12-31 00:00:00,HU,3405.1
1995-12-31 00:00:00,CZ,4486.5
1995-12-31 00:00:00,SK,2822.7
1995-12-31 00:00:00,PL,2800.1
1996-03-31 00:00:00,EU15,18657.0
1996-03-31 00:00:00,V3,3403.6
1996-03-31 00:00:00,HU,3425.8
1996-03-31 00:00:00,CZ,4727.8
1996-03-31 00:00:00,SK,2979.9
1996-03-31 00:00:00,PL,3106.0
1996-06-30 00:00:00,EU15,18940.0
1996-06-30 00:00:00,V3,3506.5
1996-06-30 00:00:00,HU,3503.1
1996-06-30 00:00:00,CZ,4866.5
1996-06-30 00:00:00,SK,3066.1
1996-06-30 00:00:00,PL,3201.8
1996-09-30 00:00:00,EU15,19124.7
1996-09-30 00:00:00,V3,3578.3
1996-09-30 00:00:00,HU,3522.9
1996-09-30 00:00:00,CZ,5066.0
1996-09-30 00:00:00,SK,3137.5
1996-09-30 00:00:00,PL,3239.4
1996-12-31 00:00:00,EU15,19303.7
1996-12-31 00:00:00,V3,3656.2
1996-12-31 00:00:00,HU,3595.5
1996-12-31 00:00:00,CZ,5154.5
1996-12-31 00:00:00,SK,3219.2
1996-12-31 00:00:00,PL,3314.2
1997-03-31 00:00:00,EU15,19521.2
1997-03-31 00:00:00,V3,3850.9
1997-03-31 00:00:00,HU,3936.1
1997-03-31 00:00:00,CZ,5338.2
1997-03-31 00:00:00,SK,3345.4
1997-03-31 00:00:00,PL,3521.7
1997-06-30 00:00:00,EU15,19849.9
1997-06-30 00:00:00,V3,3876.2
1997-06-30 00:00:00,HU,3977.8
1997-06-30 00:00:00,CZ,5056.8
1997-06-30 00:00:00,SK,3461.7
1997-06-30 00:00:00,PL,3616.8
1997-09-30 00:00:00,EU15,20136.9
1997-09-30 00:00:00,V3,3887.3
1997-09-30 00:00:00,HU,4058.7
1997-09-30 00:00:00,CZ,4973.1
1997-09-30 00:00:00,SK,3603.3
1997-09-30 00:00:00,PL,3635.1
1997-12-31 00:00:00,EU15,20400.1
1997-12-31 00:00:00,V3,3917.5
1997-12-31 00:00:00,HU,4069.2
1997-12-31 00:00:00,CZ,5017.9
1997-12-31 00:00:00,SK,3607.4
1997-12-31 00:00:00,PL,3665.0
1998-03-31 00:00:00,EU15,20579.0
1998-03-31 00:00:00,V3,4127.8
1998-03-31 00:00:00,HU,4237.6
1998-03-31 00:00:00,CZ,5178.2
1998-03-31 00:00:00,SK,3688.5
1998-03-31 00:00:00,PL,3907.1
1998-06-30 00:00:00,EU15,20762.0
1998-06-30 00:00:00,V3,4308.9
1998-06-30 00:00:00,HU,4208.9
1998-06-30 00:00:00,CZ,5493.6
1998-06-30 00:00:00,SK,3775.6
1998-06-30 00:00:00,PL,4065.4
1998-09-30 00:00:00,EU15,20887.4
1998-09-30 00:00:00,V3,4327.6
1998-09-30 00:00:00,HU,4163.2
1998-09-30 00:00:00,CZ,5747.8
1998-09-30 00:00:00,SK,3767.4
1998-09-30 00:00:00,PL,4024.6
1998-12-31 00:00:00,EU15,20994.4
1998-12-31 00:00:00,V3,4295.7
1998-12-31 00:00:00,HU,4134.1
1998-12-31 00:00:00,CZ,5796.2
1998-12-31 00:00:00,SK,3588.5
1998-12-31 00:00:00,PL,3991.9
1999-03-31 00:00:00,EU15,21287.7
1999-03-31 00:00:00,V3,4137.5
1999-03-31 00:00:00,HU,4214.8
1999-03-31 00:00:00,CZ,5459.8
1999-03-31 00:00:00,SK,3549.6
1999-03-31 00:00:00,PL,3865.0
1999-06-30 00:00:00,EU15,21610.1
1999-06-30 00:00:00,V3,4280.0
1999-06-30 00:00:00,HU,4376.5
1999-06-30 00:00:00,CZ,5532.5
1999-06-30 00:00:00,SK,3456.1
1999-06-30 00:00:00,PL,4059.6
1999-09-30 00:00:00,EU15,21946.4
1999-09-30 00:00:00,V3,4452.6
1999-09-30 00:00:00,HU,4504.1
1999-09-30 00:00:00,CZ,5756.1
1999-09-30 00:00:00,SK,3550.8
1999-09-30 00:00:00,PL,4229.5
1999-12-31 00:00:00,EU15,22390.1
1999-12-31 00:00:00,V3,4490.3
1999-12-31 00:00:00,HU,4646.8
1999-12-31 00:00:00,CZ,5866.2
1999-12-31 00:00:00,SK,3679.2
1999-12-31 00:00:00,PL,4235.1
2000-03-31 00:00:00,EU15,22881.4
2000-03-31 00:00:00,V3,4814.8
2000-03-31 00:00:00,HU,4687.7
2000-03-31 00:00:00,CZ,5973.6
2000-03-31 00:00:00,SK,3947.7
2000-03-31 00:00:00,PL,4626.0
2000-06-30 00:00:00,EU15,23135.2
2000-06-30 00:00:00,V3,4907.9
2000-06-30 00:00:00,HU,4843.6
2000-06-30 00:00:00,CZ,6075.6
2000-06-30 00:00:00,SK,4058.8
2000-06-30 00:00:00,PL,4714.2
2000-09-30 00:00:00,EU15,23331.5
2000-09-30 00:00:00,V3,5133.6
2000-09-30 00:00:00,HU,5049.7
2000-09-30 00:00:00,CZ,6312.5
2000-09-30 00:00:00,SK,4131.1
2000-09-30 00:00:00,PL,4958.6
2000-12-31 00:00:00,EU15,23611.7
2000-12-31 00:00:00,V3,5278.3
2000-12-31 00:00:00,HU,5158.1
2000-12-31 00:00:00,CZ,6499.8
2000-12-31 00:00:00,SK,4186.6
2000-12-31 00:00:00,PL,5104.6
2001-03-31 00:00:00,EU15,23687.9
2001-03-31 00:00:00,V3,5475.6
2001-03-31 00:00:00,HU,5333.1
2001-03-31 00:00:00,CZ,6687.0
2001-03-31 00:00:00,SK,4199.1
2001-03-31 00:00:00,PL,5331.1
2001-06-30 00:00:00,EU15,23964.3
2001-06-30 00:00:00,V3,5912.4
2001-06-30 00:00:00,HU,5793.1
2001-06-30 00:00:00,CZ,6962.0
2001-06-30 00:00:00,SK,4382.9
2001-06-30 00:00:00,PL,5846.9
2001-09-30 00:00:00,EU15,24093.7
2001-09-30 00:00:00,V3,5663.5
2001-09-30 00:00:00,HU,6043.9
2001-09-30 00:00:00,CZ,7103.3
2001-09-30 00:00:00,SK,4424.2
2001-09-30 00:00:00,PL,5453.0
2001-12-31 00:00:00,EU15,24248.7
2001-12-31 00:00:00,V3,5861.7
2001-12-31 00:00:00,HU,6096.1
2001-12-31 00:00:00,CZ,7414.3
2001-12-31 00:00:00,SK,4523.8
2001-12-31 00:00:00,PL,5635.3
2002-03-31 00:00:00,EU15,24504.3
2002-03-31 00:00:00,V3,6060.4
2002-03-31 00:00:00,HU,6796.7
2002-03-31 00:00:00,CZ,7791.8
2002-03-31 00:00:00,SK,4707.8
2002-03-31 00:00:00,PL,5788.7
2002-06-30 00:00:00,EU15,24596.8
2002-06-30 00:00:00,V3,6050.9
2002-06-30 00:00:00,HU,6832.3
2002-06-30 00:00:00,CZ,8244.8
2002-06-30 00:00:00,SK,4707.9
2002-06-30 00:00:00,PL,5654.5
2002-09-30 00:00:00,EU15,24791.5
2002-09-30 00:00:00,V3,5759.1
2002-09-30 00:00:00,HU,6973.6
2002-09-30 00:00:00,CZ,8345.8
2002-09-30 00:00:00,SK,4785.8
2002-09-30 00:00:00,PL,5205.9
2002-12-31 00:00:00,EU15,24952.5
2002-12-31 00:00:00,V3,5894.8
2002-12-31 00:00:00,HU,7305.9
2002-12-31 00:00:00,CZ,8302.3
2002-12-31 00:00:00,SK,5126.0
2002-12-31 00:00:00,PL,5360.4
2003-03-31 00:00:00,EU15,24841.3
2003-03-31 00:00:00,V3,5731.8
2003-03-31 00:00:00,HU,7258.8
2003-03-31 00:00:00,CZ,8153.0
2003-03-31 00:00:00,SK,5218.8
2003-03-31 00:00:00,PL,5157.7
2003-06-30 00:00:00,EU15,24765.7
2003-06-30 00:00:00,V3,5717.1
2003-06-30 00:00:00,HU,7241.8
2003-06-30 00:00:00,CZ,8347.1
2003-06-30 00:00:00,SK,5470.3
2003-06-30 00:00:00,PL,5049.6
2003-09-30 00:00:00,EU15,25067.3
2003-09-30 00:00:00,V3,5665.7
2003-09-30 00:00:00,HU,7231.2
2003-09-30 00:00:00,CZ,8203.1
2003-09-30 00:00:00,SK,5496.7
2003-09-30 00:00:00,PL,5011.6
2003-12-31 00:00:00,EU15,25330.6
2003-12-31 00:00:00,V3,5620.9
2003-12-31 00:00:00,HU,7591.8
2003-12-31 00:00:00,CZ,8392.8
2003-12-31 00:00:00,SK,5747.2
2003-12-31 00:00:00,PL,4862.1
2004-03-31 00:00:00,EU15,25636.2
2004-03-31 00:00:00,V3,5731.3
2004-03-31 00:00:00,HU,7687.2
2004-03-31 00:00:00,CZ,8482.5
2004-03-31 00:00:00,SK,6065.2
2004-03-31 00:00:00,PL,4948.9
2004-06-30 00:00:00,EU15,25984.1
2004-06-30 00:00:00,V3,5925.5
2004-06-30 00:00:00,HU,8154.1
2004-06-30 00:00:00,CZ,8817.3
2004-06-30 00:00:00,SK,6159.2
2004-06-30 00:00:00,PL,5119.5
2004-09-30 00:00:00,EU15,26128.6
2004-09-30 00:00:00,V3,6283.1
2004-09-30 00:00:00,HU,8265.0
2004-09-30 00:00:00,CZ,9097.0
2004-09-30 00:00:00,SK,6392.7
2004-09-30 00:00:00,PL,5515.2
2004-12-31 00:00:00,EU15,26174.9
2004-12-31 00:00:00,V3,6641.0
2004-12-31 00:00:00,HU,8384.5
2004-12-31 00:00:00,CZ,9550.2
2004-12-31 00:00:00,SK,6652.0
2004-12-31 00:00:00,PL,5860.9
2005-03-31 00:00:00,EU15,26333.6
2005-03-31 00:00:00,V3,7043.4
2005-03-31 00:00:00,HU,8564.0
2005-03-31 00:00:00,CZ,9953.9
2005-03-31 00:00:00,SK,6950.7
2005-03-31 00:00:00,PL,6277.0
2005-06-30 00:00:00,EU15,26715.7
2005-06-30 00:00:00,V3,6991.4
2005-06-30 00:00:00,HU,8651.1
2005-06-30 00:00:00,CZ,10020.0
2005-06-30 00:00:00,SK,7007.9
2005-06-30 00:00:00,PL,6177.3
2005-09-30 00:00:00,EU15,26898.5
2005-09-30 00:00:00,V3,7255.0
2005-09-30 00:00:00,HU,8999.5
2005-09-30 00:00:00,CZ,10279.9
2005-09-30 00:00:00,SK,7205.4
2005-09-30 00:00:00,PL,6450.4
2005-12-31 00:00:00,EU15,27252.9
2005-12-31 00:00:00,V3,7533.8
2005-12-31 00:00:00,HU,9023.2
2005-12-31 00:00:00,CZ,10612.8
2005-12-31 00:00:00,SK,7418.0
2005-12-31 00:00:00,PL,6723.2
2006-03-31 00:00:00,EU15,27541.0
2006-03-31 00:00:00,V3,7832.2
2006-03-31 00:00:00,HU,8886.0
2006-03-31 00:00:00,CZ,11053.7
2006-03-31 00:00:00,SK,7777.8
2006-03-31 00:00:00,PL,6974.1
2006-06-30 00:00:00,EU15,27911.1
2006-06-30 00:00:00,V3,7904.3
2006-06-30 00:00:00,HU,8815.1
2006-06-30 00:00:00,CZ,11361.9
2006-06-30 00:00:00,SK,8073.7
2006-06-30 00:00:00,PL,6950.0
2006-09-30 00:00:00,EU15,28225.6
2006-09-30 00:00:00,V3,8092.2
2006-09-30 00:00:00,HU,8780.1
2006-09-30 00:00:00,CZ,11701.6
2006-09-30 00:00:00,SK,8233.8
2006-09-30 00:00:00,PL,7099.8
2006-12-31 00:00:00,EU15,28674.8
2006-12-31 00:00:00,V3,8511.5
2006-12-31 00:00:00,HU,9304.4
2006-12-31 00:00:00,CZ,12024.9
2006-12-31 00:00:00,SK,8968.5
2006-12-31 00:00:00,PL,7499.3
