date,country,values
1995-12-31,EU15,17700.0
1995-12-31,V3,7555.453898399409
1995-12-31,HU,7700.0
1995-12-31,CZ,11600.0
1995-12-31,SK,7300.0
1995-12-31,PL,6500.0
1996-12-31,EU15,18600.0
1996-12-31,V3,8202.082978670984
1996-12-31,HU,8000.0
1996-12-31,CZ,12400.0
1996-12-31,SK,8000.0
1996-12-31,PL,7100.0
1997-12-31,EU15,19600.0
1997-12-31,V3,8824.973393066246
1997-12-31,HU,8500.0
1997-12-31,CZ,12700.0
1997-12-31,SK,8700.0
1997-12-31,PL,7800.0
1998-12-31,EU15,20500.0
1998-12-31,V3,9267.320676008547
1998-12-31,HU,9000.0
1998-12-31,CZ,12900.0
1998-12-31,SK,9200.0
1998-12-31,PL,8300.0
1999-12-31,EU15,21500.0
1999-12-31,V3,9726.726757956638
1999-12-31,HU,9500.0
1999-12-31,CZ,13400.0
1999-12-31,SK,9300.0
1999-12-31,PL,8800.0
2000-12-31,EU15,23000.0
2000-12-31,V3,10293.211212851395
2000-12-31,HU,10400.0
2000-12-31,CZ,14200.0
2000-12-31,SK,9900.0
2000-12-31,PL,9300.0
2001-12-31,EU15,23800.0
2001-12-31,V3,10772.257306669771
2001-12-31,HU,11500.0
2001-12-31,CZ,15200.0
2001-12-31,SK,10700.0
2001-12-31,PL,9600.0
2002-12-31,EU15,24500.0
2002-12-31,V3,11272.836974120255
2002-12-31,HU,12500.0
2002-12-31,CZ,15600.0
2002-12-31,SK,11400.0
2002-12-31,PL,10100.0
2003-12-31,EU15,24700.0
2003-12-31,V3,11718.073325364923
2003-12-31,HU,13100.0
2003-12-31,CZ,16500.0
2003-12-31,SK,12000.0
2003-12-31,PL,10400.0
2004-12-31,EU15,25600.0
2004-12-31,V3,12647.004118862427
2004-12-31,HU,13700.0
2004-12-31,CZ,17600.0
2004-12-31,SK,12800.0
2004-12-31,PL,11300.0
2005-12-31,EU15,26600.0
2005-12-31,V3,13325.871672448326
2005-12-31,HU,14500.0
2005-12-31,CZ,18600.0
2005-12-31,SK,14100.0
2005-12-31,PL,11800.0
2006-12-31,EU15,27900.0
2006-12-31,V3,14167.71929550679
2006-12-31,HU,15100.0
2006-12-31,CZ,19600.0
2006-12-31,SK,15600.0
2006-12-31,PL,12500.0
2007-12-31,EU15,29200.0
2007-12-31,V3,15641.018724011315
2007-12-31,HU,15700.0
2007-12-31,CZ,21500.0
2007-12-31,SK,17400.0
2007-12-31,PL,13800.0
2008-12-31,EU15,29000.0
2008-12-31,V3,16344.106846373343
2008-12-31,HU,16300.0
2008-12-31,CZ,21900.0
2008-12-31,SK,18600.0
2008-12-31,PL,14500.0
2009-12-31,EU15,27100.0
2009-12-31,V3,16032.14567271211
2009-12-31,HU,15700.0
2009-12-31,CZ,20900.0
2009-12-31,SK,17400.0
2009-12-31,PL,14500.0
2010-12-31,EU15,28100.0
2010-12-31,V3,17214.013934772025
2010-12-31,HU,16500.0
2010-12-31,CZ,21100.0
2010-12-31,SK,19000.0
2010-12-31,PL,15900.0
2011-12-31,EU15,28700.0
2011-12-31,V3,18154.935747958552
2011-12-31,HU,17200.0
2011-12-31,CZ,21700.0
2011-12-31,SK,19500.0
2011-12-31,PL,17000.0
2012-12-31,EU15,29100.0
2012-12-31,V3,18839.432524863918
2012-12-31,HU,17500.0
2012-12-31,CZ,22000.0
2012-12-31,SK,20100.0
2012-12-31,PL,17800.0
2013-12-31,EU15,29200.0
2013-12-31,V3,19027.948241744532
2013-12-31,HU,18000.0
2013-12-31,CZ,22400.0
2013-12-31,SK,20500.0
2013-12-31,PL,17900.0
2014-12-31,EU15,30100.0
2014-12-31,V3,19875.20162579047
2014-12-31,HU,18800.0
2014-12-31,CZ,23800.0
2014-12-31,SK,21300.0
2014-12-31,PL,18600.0
2015-12-31,EU15,31600.0
2015-12-31,V3,21186.094230159713
2015-12-31,HU,19800.0
2015-12-31,CZ,25300.0
2015-12-31,SK,22300.0
2015-12-31,PL,19900.0
2016-12-31,EU15,31700.0
2016-12-31,V3,21266.815468155342
2016-12-31,HU,19500.0
2016-12-31,CZ,25600.0
2016-12-31,SK,22500.0
2016-12-31,PL,19900.0
2017-12-31,EU15,32400.0
2017-12-31,V3,22267.750155593883
2017-12-31,HU,20300.0
2017-12-31,CZ,26900.0
2017-12-31,SK,22900.0
2017-12-31,PL,20900.0
