"date","country","values"
"1996-03-31 00:00:00","EU15",1.4735322521
"1996-03-31 00:00:00","V3",6.8650712461
"1996-03-31 00:00:00","HU",-0.2504914273
"1996-03-31 00:00:00","CZ",4.3482779747
"1996-03-31 00:00:00","SK",6.2678253867
"1996-03-31 00:00:00","PL",8.2281509347
"1996-06-30 00:00:00","EU15",1.7230168075
"1996-06-30 00:00:00","V3",8.1730353191
"1996-06-30 00:00:00","HU",-0.2948982601
"1996-06-30 00:00:00","CZ",7.2843013358
"1996-06-30 00:00:00","SK",6.9650427842
"1996-06-30 00:00:00","PL",8.8068479531
"1996-09-30 00:00:00","EU15",2.1411847143
"1996-09-30 00:00:00","V3",6.0240182429
"1996-09-30 00:00:00","HU",-0.2746288122
"1996-09-30 00:00:00","CZ",5.951656113
"1996-09-30 00:00:00","SK",7.2509780319
"1996-09-30 00:00:00","PL",5.8618353971
"1996-12-31 00:00:00","EU15",1.8042802156
"1996-12-31 00:00:00","V3",5.4608776145
"1996-12-31 00:00:00","HU",1.3852307092
"1996-12-31 00:00:00","CZ",11.2878267301
"1996-12-31 00:00:00","SK",7.2154610511
"1996-12-31 00:00:00","PL",2.6962563518
"1997-03-31 00:00:00","EU15",1.321832703
"1997-03-31 00:00:00","V3",4.9634461728
"1997-03-31 00:00:00","HU",0.8806322488
"1997-03-31 00:00:00","CZ",0.0566165331
"1997-03-31 00:00:00","SK",9.2797827666
"1997-03-31 00:00:00","PL",6.6470008334
"1997-06-30 00:00:00","EU15",3.3708641056
"1997-06-30 00:00:00","V3",3.7410466588
"1997-06-30 00:00:00","HU",3.3460643237
"1997-06-30 00:00:00","CZ",-0.3105484246
"1997-06-30 00:00:00","SK",6.6654084033
"1997-06-30 00:00:00","PL",5.2231986601
"1997-09-30 00:00:00","EU15",2.8511577064
"1997-09-30 00:00:00","V3",2.8370510019
"1997-09-30 00:00:00","HU",4.2332599811
"1997-09-30 00:00:00","CZ",-1.3585993545
"1997-09-30 00:00:00","SK",5.287672386
"1997-09-30 00:00:00","PL",4.4342636467
"1997-12-31 00:00:00","EU15",3.6436896573
"1997-12-31 00:00:00","V3",6.4928169132
"1997-12-31 00:00:00","HU",3.83852112
"1997-12-31 00:00:00","CZ",-1.6968485751
"1997-12-31 00:00:00","SK",-2.9150015588
"1997-12-31 00:00:00","PL",11.7643314059
"1998-03-31 00:00:00","EU15",3.882070127
"1998-03-31 00:00:00","V3",4.32936857
"1998-03-31 00:00:00","HU",3.6165825601
"1998-03-31 00:00:00","CZ",-0.6287166322
"1998-03-31 00:00:00","SK",4.1808725802
"1998-03-31 00:00:00","PL",6.6084238464
"1998-06-30 00:00:00","EU15",2.4689792139
"1998-06-30 00:00:00","V3",3.2943820348
"1998-06-30 00:00:00","HU",4.1124867791
"1998-06-30 00:00:00","CZ",-0.7729303484
