date,country,values
1995-12-31 00:00:00,EU15,18.7121666919
1995-12-31 00:00:00,V3,19.4465713468
1995-12-31 00:00:00,HU,18.0941913924
1995-12-31 00:00:00,CZ,25.6705453467
1995-12-31 00:00:00,SK,23.7642229471
1995-12-31 00:00:00,PL,15.8209190207
1996-03-31 00:00:00,EU15,18.5785109576
1996-03-31 00:00:00,V3,19.6995927785
1996-03-31 00:00:00,HU,18.0327187577
1996-03-31 00:00:00,CZ,26.5719280291
1996-03-31 00:00:00,SK,24.545020999
1996-03-31 00:00:00,PL,15.7127226079
1996-06-30 00:00:00,EU15,18.645038954
1996-06-30 00:00:00,V3,20.5729151382
1996-06-30 00:00:00,HU,17.9260207142
1996-06-30 00:00:00,CZ,27.4002553809
1996-06-30 00:00:00,SK,25.5129547783
1996-06-30 00:00:00,PL,16.6039420541
1996-09-30 00:00:00,EU15,18.7415046642
1996-09-30 00:00:00,V3,21.3390700019
1996-09-30 00:00:00,HU,18.1985379448
1996-09-30 00:00:00,CZ,28.1852607342
1996-09-30 00:00:00,SK,26.6968913841
1996-09-30 00:00:00,PL,17.2908458293
1996-12-31 00:00:00,EU15,18.7990997591
1996-12-31 00:00:00,V3,22.0917552722
1996-12-31 00:00:00,HU,18.8536368696
1996-12-31 00:00:00,CZ,28.7449704837
1996-12-31 00:00:00,SK,28.9139437725
1996-12-31 00:00:00,PL,17.828833675
1997-03-31 00:00:00,EU15,18.8473306832
1997-03-31 00:00:00,V3,22.196576407
1997-03-31 00:00:00,HU,19.0709474515
1997-03-31 00:00:00,CZ,28.257252069
1997-03-31 00:00:00,SK,30.8730705894
1997-03-31 00:00:00,PL,17.9542715742
1997-06-30 00:00:00,EU15,18.8440640146
1997-06-30 00:00:00,V3,22.2940481736
1997-06-30 00:00:00,HU,19.2443567482
1997-06-30 00:00:00,CZ,27.8677664496
1997-06-30 00:00:00,SK,32.2038842458
1997-06-30 00:00:00,PL,18.1113813268
1997-09-30 00:00:00,EU15,18.8191008157
1997-09-30 00:00:00,V3,22.4433106655
1997-09-30 00:00:00,HU,19.6089548649
1997-09-30 00:00:00,CZ,27.1757869476
1997-09-30 00:00:00,SK,32.4661900847
1997-09-30 00:00:00,PL,18.6601917555
1997-12-31 00:00:00,EU15,18.8845606955
1997-12-31 00:00:00,V3,23.2709664524
1997-12-31 00:00:00,HU,19.5616873075
1997-12-31 00:00:00,CZ,27.1085608775
1997-12-31 00:00:00,SK,31.548737799
1997-12-31 00:00:00,PL,20.286001799
1998-03-31 00:00:00,EU15,19.0843867051
1998-03-31 00:00:00,V3,23.5377685027
1998-03-31 00:00:00,HU,19.7342426083
1998-03-31 00:00:00,CZ,27.5768254741
1998-03-31 00:00:00,SK,31.7071314934
1998-03-31 00:00:00,PL,20.516203203
1998-06-30 00:00:00,EU15,19.205313318
1998-06-30 00:00:00,V3,23.7501398541
1998-06-30 00:00:00,HU,20.1560075195
1998-06-30 00:00:00,CZ,27.604015724
1998-06-30 00:00:00,SK,32.0913058073
1998-06-30 00:00:00,PL,20.8088930084
1998-09-30 00:00:00,EU15,19.4104874087
1998-09-30 00:00:00,V3,23.9077568691
1998-09-30 00:00:00,HU,20.7928862097
1998-09-30 00:00:00,CZ,27.5176906076
1998-09-30 00:00:00,SK,32.4584664044
1998-09-30 00:00:00,PL,21.0784662595
1998-12-31 00:00:00,EU15,19.627835237
1998-12-31 00:00:00,V3,24.416387461
1998-12-31 00:00:00,HU,21.2090501933
1998-12-31 00:00:00,CZ,26.8981574842
1998-12-31 00:00:00,SK,33.068657316
1998-12-31 00:00:00,PL,22.0339326102
1999-03-31 00:00:00,EU15,19.8076093672
1999-03-31 00:00:00,V3,24.3426226503
1999-03-31 00:00:00,HU,21.3324639301
1999-03-31 00:00:00,CZ,26.6627865739
1999-03-31 00:00:00,SK,32.1770880876
1999-03-31 00:00:00,PL,22.1566369431
1999-06-30 00:00:00,EU15,19.9463069609
1999-06-30 00:00:00,V3,24.25956414
1999-06-30 00:00:00,HU,21.6301249226
1999-06-30 00:00:00,CZ,26.4294884182
1999-06-30 00:00:00,SK,31.2904552207
1999-06-30 00:00:00,PL,22.2678867349
1999-09-30 00:00:00,EU15,20.0622482972
1999-09-30 00:00:00,V3,24.0107649385
1999-09-30 00:00:00,HU,21.7140473836
1999-09-30 00:00:00,CZ,26.085377955
1999-09-30 00:00:00,SK,29.7928829947
1999-09-30 00:00:00,PL,22.2647772051
1999-12-31 00:00:00,EU15,20.1024596818
1999-12-31 00:00:00,V3,23.8923901227
1999-12-31 00:00:00,HU,22.0631094523
1999-12-31 00:00:00,CZ,25.9100272427
1999-12-31 00:00:00,SK,27.8789460651
1999-12-31 00:00:00,PL,22.477539094
2000-03-31 00:00:00,EU15,20.1743895111
2000-03-31 00:00:00,V3,23.6544562823
2000-03-31 00:00:00,HU,22.0145157529
2000-03-31 00:00:00,CZ,25.8851983698
2000-03-31 00:00:00,SK,26.5422841139
2000-03-31 00:00:00,PL,22.3285835501
2000-06-30 00:00:00,EU15,20.2332027129
2000-06-30 00:00:00,V3,23.4122547982
2000-06-30 00:00:00,HU,22.0425768827
2000-06-30 00:00:00,CZ,25.8604372509
