date,country,values
1995-03-31,CZ,4.2
1995-06-30,CZ,4.2
1995-09-30,CZ,4.0
1995-12-31,CZ,3.7
1996-03-31,HU,10.2
1996-03-31,CZ,3.6
1996-06-30,HU,10.0
1996-06-30,CZ,3.9
1996-09-30,HU,9.8
1996-09-30,CZ,3.9
1996-12-31,HU,9.5
1996-12-31,CZ,4.1
1997-03-31,HU,9.2
1997-03-31,CZ,4.2
1997-03-31,PL,11.5
1997-06-30,HU,9.0
1997-06-30,CZ,4.6
1997-06-30,PL,11.0
1997-09-30,HU,9.0
1997-09-30,CZ,5.0
1997-09-30,PL,10.7
1997-12-31,HU,9.1
1997-12-31,CZ,5.4
1997-12-31,PL,10.2
1998-03-31,V3,9.249299842252155
1998-03-31,HU,9.1
1998-03-31,CZ,5.7
1998-03-31,SK,12.1
1998-03-31,PL,9.9
1998-06-30,EU15,9.632608349199366
1998-06-30,V3,9.363465866770298
1998-06-30,HU,8.9
1998-06-30,CZ,6.1
1998-06-30,SK,12.4
1998-06-30,PL,9.9
1998-09-30,EU15,9.488596383922355
1998-09-30,V3,9.776509406750646
1998-09-30,HU,8.6
1998-09-30,CZ,6.8
1998-09-30,SK,13.0
1998-09-30,PL,10.2
1998-12-31,EU15,9.331995283502511
1998-12-31,V3,10.33147980733605
1998-12-31,HU,8.0
1998-12-31,CZ,7.3
1998-12-31,SK,13.4
1998-12-31,PL,10.8
1999-03-31,EU15,9.064845060011795
1999-03-31,V3,11.427591335874315
1999-03-31,HU,7.2
1999-03-31,CZ,8.2
1999-03-31,SK,14.8
1999-03-31,PL,11.9
1999-06-30,EU15,8.923337151822055
1999-06-30,V3,12.332349027170567
1999-06-30,HU,6.9
1999-06-30,CZ,8.6
1999-06-30,SK,16.1
1999-06-30,PL,12.9
1999-09-30,EU15,8.727512437331509
1999-09-30,V3,13.129904401553725
1999-09-30,HU,6.7
1999-09-30,CZ,9.0
1999-09-30,SK,17.0
1999-09-30,PL,13.8
1999-12-31,EU15,8.552319934732783
1999-12-31,V3,13.942018003039998
1999-12-31,HU,6.7
1999-12-31,CZ,9.1
1999-12-31,SK,18.0
1999-12-31,PL,14.8
2000-03-31,EU15,8.286762998268653
2000-03-31,V3,14.717368292321078
2000-03-31,HU,6.6
2000-03-31,CZ,9.2
2000-03-31,SK,18.5
2000-03-31,PL,15.8
2000-06-30,EU15,8.028528868284056
2000-06-30,V3,15.014826038697105
2000-06-30,HU,6.4
2000-06-30,CZ,8.9
2000-06-30,SK,19.2
2000-06-30,PL,16.2
2000-09-30,EU15,7.865698755200185
2000-09-30,V3,14.797468979075301
2000-09-30,HU,6.1
2000-09-30,CZ,8.6
2000-09-30,SK,19.0
2000-09-30,PL,16.0
2000-12-31,EU15,7.627977678223995
2000-12-31,V3,15.088449582048044
2000-12-31,HU,5.9
2000-12-31,CZ,8.4
2000-12-31,SK,18.9
2000-12-31,PL,16.5
2001-03-31,EU15,7.45262012337659
2001-03-31,V3,15.731104995986117
2001-03-31,HU,5.7
2001-03-31,CZ,8.2
2001-03-31,SK,19.4
2001-03-31,PL,17.4
2001-06-30,EU15,7.378672387491394
2001-06-30,V3,16.363747204157118
2001-06-30,HU,5.6
2001-06-30,CZ,8.1
2001-06-30,SK,19.5
2001-06-30,PL,18.3
2001-09-30,EU15,7.394240045204902
2001-09-30,V3,16.522288216800106
2001-09-30,HU,5.5
2001-09-30,CZ,8.2
2001-09-30,SK,19.5
2001-09-30,PL,18.5
2001-12-31,EU15,7.493756836000133
2001-12-31,V3,16.78512742426671
2001-12-31,HU,5.5
2001-12-31,CZ,7.9
2001-12-31,SK,19.5
2001-12-31,PL,19.0
2002-03-31,EU15,7.533792637528356
2002-03-31,V3,16.9973334405856
2002-03-31,HU,5.5
2002-03-31,CZ,7.5
2002-03-31,SK,19.0
2002-03-31,PL,19.5
2002-06-30,EU15,7.659215127837676
2002-06-30,V3,17.273100749395553
2002-06-30,HU,5.5
2002-06-30,CZ,7.2
2002-06-30,SK,18.9
2002-06-30,PL,20.0
2002-09-30,EU15,7.803161966777137
2002-09-30,V3,17.536127693535516
2002-09-30,HU,5.6
2002-09-30,CZ,7.2
2002-09-30,SK,18.8
2002-09-30,PL,20.4
2002-12-31,EU15,7.9139699471638245
2002-12-31,V3,17.43628453916921
2002-12-31,HU,5.7
2002-12-31,CZ,7.3
2002-12-31,SK,18.6
2002-12-31,PL,20.3
2003-03-31,EU15,8.059417370684098
2003-03-31,V3,17.030365094589907
2003-03-31,HU,5.7
