date,country,values
1998-12-31,CZ,64.47500000000001
1998-12-31,SK,62.75
1999-03-31,EU15,60.6875
1999-03-31,V3,61.17525205250222
1999-03-31,HU,52.1
1999-03-31,CZ,64.5
1999-03-31,SK,62.85000000000001
1999-03-31,PL,60.0
1999-06-30,EU15,60.8125
1999-06-30,V3,61.10942031518628
1999-06-30,HU,52.375
1999-06-30,CZ,64.525
1999-06-30,SK,62.900000000000006
1999-06-30,PL,59.89375
1999-09-30,EU15,60.91875
1999-09-30,V3,61.06467471009041
1999-09-30,HU,52.708333333333336
1999-09-30,CZ,64.55000000000001
1999-09-30,SK,62.975
1999-09-30,PL,59.81458333333333
1999-12-31,EU15,61.00625000000001
1999-12-31,V3,61.03625429993002
1999-12-31,HU,52.974999999999994
1999-12-31,CZ,64.55000000000001
1999-12-31,SK,63.074999999999996
1999-12-31,PL,59.7625
2000-03-31,EU15,61.07500000000002
2000-03-31,V3,61.01693808558215
2000-03-31,HU,53.05
2000-03-31,CZ,64.50000000000001
2000-03-31,SK,63.17499999999999
2000-03-31,PL,59.7375
2000-06-30,EU15,61.125000000000014
2000-06-30,V3,61.070150658021454
2000-06-30,HU,53.14999999999999
2000-06-30,CZ,64.42500000000001
2000-06-30,SK,63.3
2000-06-30,PL,59.81875
2000-09-30,EU15,61.16250000000001
2000-09-30,V3,61.06180411202794
2000-09-30,HU,53.249999999999986
2000-09-30,CZ,64.30000000000001
2000-09-30,SK,63.400000000000006
2000-09-30,PL,59.83125
2000-12-31,EU15,61.18750000000001
2000-12-31,V3,60.973138669103065
2000-12-31,HU,53.374999999999986
2000-12-31,CZ,64.10000000000001
2000-12-31,SK,63.5
2000-12-31,PL,59.74999999999999
2001-03-31,EU15,61.20000000000001
2001-03-31,V3,60.94427547726353
2001-03-31,HU,53.374999999999986
2001-03-31,CZ,64.0
2001-03-31,SK,63.599999999999994
2001-03-31,PL,59.724999999999994
2001-06-30,EU15,61.20000000000002
2001-06-30,V3,60.943685006125094
2001-06-30,HU,53.224999999999994
2001-06-30,CZ,63.900000000000006
2001-06-30,SK,63.8
2001-06-30,PL,59.725
2001-09-30,EU15,61.23125000000002
2001-09-30,V3,60.9813769748186
2001-09-30,HU,53.05
2001-09-30,CZ,63.82500000000001
2001-09-30,SK,63.975
2001-09-30,PL,59.77499999999999
2001-12-31,EU15,61.29375000000002
2001-12-31,V3,60.905480546723965
2001-12-31,HU,52.77499999999999
2001-12-31,CZ,63.750000000000014
2001-12-31,SK,64.075
2001-12-31,PL,59.67499999999999
2002-03-31,EU15,61.38750000000002
2002-03-31,V3,60.728910543903126
2002-03-31,HU,52.69999999999999
2002-03-31,CZ,63.62500000000001
2002-03-31,SK,63.975
2002-03-31,PL,59.47499999999999
2002-06-30,EU15,61.51250000000002
2002-06-30,V3,60.513533794080466
2002-06-30,HU,52.74999999999999
2002-06-30,CZ,63.62500000000001
2002-06-30,SK,63.775000000000006
2002-06-30,PL,59.199999999999996
2002-09-30,EU15,61.63750000000002
2002-09-30,V3,60.330052295682734
2002-09-30,HU,52.82499999999999
2002-09-30,CZ,63.675
2002-09-30,SK,63.625
2002-09-30,PL,58.94999999999999
2002-12-31,EU15,61.76250000000002
2002-12-31,V3,60.230439635194585
2002-12-31,HU,52.974999999999994
2002-12-31,CZ,63.75
2002-12-31,SK,63.550000000000004
2002-12-31,PL,58.79999999999998
2003-03-31,EU15,61.88750000000002
2003-03-31,V3,60.06050560487285
2003-03-31,HU,53.14999999999999
2003-03-31,CZ,63.775
2003-03-31,SK,63.55000000000001
2003-03-31,PL,58.54999999999998
2003-06-30,EU15,62.01250000000002
2003-06-30,V3,59.88964165278203
2003-06-30,HU,53.39999999999999
2003-06-30,CZ,63.75000000000001
2003-06-30,SK,63.65000000000002
2003-06-30,PL,58.29999999999998
2003-09-30,EU15,62.11875000000002
2003-09-30,V3,59.765099077253055
2003-09-30,HU,53.624999999999986
2003-09-30,CZ,63.60000000000001
2003-09-30,SK,63.72500000000002
2003-09-30,PL,58.14999999999998
2003-12-31,EU15,62.206250000000026
2003-12-31,V3,59.70056877018356
2003-12-31,HU,53.82499999999999
2003-12-31,CZ,63.42500000000001
2003-12-31,SK,63.750000000000014
2003-12-31,PL,58.09999999999997
2004-03-31,EU15,62.275000000000034
2004-03-31,V3,59.74436255195906
2004-03-31,HU,53.925
2004-03-31,CZ,63.35000000000001
2004-03-31,SK,63.80000000000001
2004-03-31,PL,58.17499999999997
2004-06-30,EU15,62.32500000000003
2004-06-30,V3,59.71196949253647
2004-06-30,HU,53.875
2004-06-30,CZ,63.250000000000014
2004-06-30,SK,63.82500000000001
2004-06-30,PL,58.14999999999996
2004-09-30,EU15,62.39583333333337
2004-09-30,V3,59.710912685900325
2004-09-30,HU,53.8
2004-09-30,CZ,63.25000000000001
2004-09-30,SK,63.80000000000001
2004-09-30,PL,58.149999999999956
2004-12-31,EU15,62.48750000000004
2004-12-31,V3,59.7494704647448
2004-12-31,HU,53.775
2004-12-31,CZ,63.3
2004-12-31,SK,63.725000000000016
2004-12-31,PL,58.19999999999996
2005-03-31,EU15,62.600000000000044
2005-03-31,V3,59.7117462046912
2005-03-31,HU,53.85
2005-03-31,CZ,63.349999999999994
2005-03-31,SK,63.60000000000002
2005-03-31,PL,58.149999999999956
2005-06-30,EU15,62.75000000000005
2005-06-30,V3,59.767164900759354
2005-06-30,HU,54.00000000000001
2005-06-30,CZ,63.475
2005-06-30,SK,63.37500000000003
2005-06-30,PL,58.22499999999996
2005-09-30,EU15,62.891666666666715
2005-09-30,V3,59.97629183214269
2005-09-30,HU,54.225
2005-09-30,CZ,63.65
2005-09-30,SK,63.17500000000003
2005-09-30,PL,58.499999999999964
2005-12-31,EU15,63.025000000000055
2005-12-31,V3,60.0848179179237
2005-12-31,HU,54.400000000000006
2005-12-31,CZ,63.775000000000006
2005-12-31,SK,63.125000000000036
2005-12-31,PL,58.624999999999964
2006-03-31,EU15,63.12500000000006
2006-03-31,V3,59.97260560221059
2006-03-31,HU,54.57500000000001
2006-03-31,CZ,63.87500000000001
2006-03-31,SK,63.025000000000034
2006-03-31,PL,58.44999999999997
2006-06-30,EU15,63.22500000000005
2006-06-30,V3,59.83834411939368
2006-06-30,HU,54.77500000000002
2006-06-30,CZ,63.90000000000001
2006-06-30,SK,63.025000000000034
2006-06-30,PL,58.24999999999997
2006-09-30,EU15,63.37500000000005
2006-09-30,V3,59.645622583722485
2006-09-30,HU,54.875000000000014
2006-09-30,CZ,63.82500000000001
2006-09-30,SK,63.000000000000036
2006-09-30,PL,57.99999999999997
2006-12-31,EU15,63.50000000000006
2006-12-31,V3,59.41853904034002
2006-12-31,HU,55.02500000000002
2006-12-31,CZ,63.72500000000001
2006-12-31,SK,62.85000000000003
2006-12-31,PL,57.72499999999997
2007-03-31,EU15,63.550000000000054
2007-03-31,V3,59.32959165239957
2007-03-31,HU,55.02500000000003
2007-03-31,CZ,63.60000000000001
2007-03-31,SK,62.72500000000002
2007-03-31,PL,57.64999999999998
2007-06-30,EU15,63.62500000000005
2007-06-30,V3,59.29694563391808
2007-06-30,HU,54.95000000000003
2007-06-30,CZ,63.500000000000014
2007-06-30,SK,62.57500000000002
2007-06-30,PL,57.64999999999997
2007-09-30,EU15,63.72500000000005
2007-09-30,V3,59.2090791063509
2007-09-30,HU,54.87500000000003
2007-09-30,CZ,63.42500000000001
2007-09-30,SK,62.52500000000002
2007-09-30,PL,57.54999999999997
2007-12-31,EU15,63.800000000000054
2007-12-31,V3,59.24675947022782
2007-12-31,HU,54.70000000000003
2007-12-31,CZ,63.40000000000001
2007-12-31,SK,62.57500000000002
2007-12-31,PL,57.599999999999966
2008-03-31,EU15,63.900000000000055
2008-03-31,V3,59.3888755812444
2008-03-31,HU,54.52500000000003
2008-03-31,CZ,63.325
2008-03-31,SK,62.70000000000002
2008-03-31,PL,57.79999999999996
2008-06-30,EU15,64.00000000000006
2008-06-30,V3,59.5051334687522
2008-06-30,HU,54.37500000000003
2008-06-30,CZ,63.275000000000006
2008-06-30,SK,62.875000000000014
2008-06-30,PL,57.94999999999995
2008-09-30,EU15,64.07500000000005
2008-09-30,V3,59.62884932845844
2008-09-30,HU,54.35000000000003
2008-09-30,CZ,63.17500000000001
2008-09-30,SK,63.05000000000001
2008-09-30,PL,58.12499999999995
2008-12-31,EU15,64.15000000000005
2008-12-31,V3,59.785162361524776
2008-12-31,HU,54.30000000000003
2008-12-31,CZ,63.125000000000014
2008-12-31,SK,63.10000000000001
2008-12-31,PL,58.34999999999995
2009-03-31,EU15,64.22500000000004
2009-03-31,V3,59.97491341905253
2009-03-31,HU,54.30000000000003
2009-03-31,CZ,63.15000000000002
2009-03-31,SK,63.0
2009-03-31,PL,58.62499999999996
2009-06-30,EU15,64.25000000000003
2009-06-30,V3,60.12579840717377
2009-06-30,HU,54.32500000000004
2009-06-30,CZ,63.17500000000002
2009-06-30,SK,62.87499999999999
2009-06-30,PL,58.84999999999995
