date,country,values
1995-03-31 00:00:00,EU15,2.0
1995-03-31 00:00:00,V3,1.852798621182504
1995-03-31 00:00:00,HU,-4.0
1995-03-31 00:00:00,CZ,-3.1
1995-03-31 00:00:00,SK,6.3
1995-03-31 00:00:00,PL,3.2
1995-06-30 00:00:00,EU15,1.6
1995-06-30 00:00:00,V3,0.5476353981692293
1995-06-30 00:00:00,HU,-1.9
1995-06-30 00:00:00,CZ,-4.7
1995-06-30 00:00:00,SK,3.5
1995-06-30 00:00:00,PL,2.3
1995-09-30 00:00:00,EU15,1.4
1995-09-30 00:00:00,V3,1.1126291799746932
1995-09-30 00:00:00,HU,2.6
1995-09-30 00:00:00,CZ,-2.8
1995-09-30 00:00:00,SK,2.9
1995-09-30 00:00:00,PL,2.5
1995-12-31 00:00:00,EU15,1.7
1995-12-31 00:00:00,V3,-0.6522032737980544
1995-12-31 00:00:00,HU,3.7
1995-12-31 00:00:00,CZ,-3.9
1995-12-31 00:00:00,SK,-3.6
1995-12-31 00:00:00,PL,1.1
1996-03-31 00:00:00,EU15,1.7
1996-03-31 00:00:00,V3,-2.1153602774211526
1996-03-31 00:00:00,HU,1.8
1996-03-31 00:00:00,CZ,-4.3
1996-03-31 00:00:00,SK,-12.6
1996-03-31 00:00:00,PL,0.2
1996-06-30 00:00:00,EU15,1.8
1996-06-30 00:00:00,V3,-2.6107087081989477
1996-06-30 00:00:00,HU,1.8
1996-06-30 00:00:00,CZ,-4.7
1996-06-30 00:00:00,SK,-7.2
1996-06-30 00:00:00,PL,-1.1
1996-09-30 00:00:00,EU15,2.0
1996-09-30 00:00:00,V3,-3.98509407913229
1996-09-30 00:00:00,HU,0.6
1996-09-30 00:00:00,CZ,-6.5
1996-09-30 00:00:00,SK,-8.9
1996-09-30 00:00:00,PL,-2.2
1996-12-31 00:00:00,EU15,2.0
1996-12-31 00:00:00,V3,-3.7421050087491174
1996-12-31 00:00:00,HU,-1.4
1996-12-31 00:00:00,CZ,-5.0
1996-12-31 00:00:00,SK,-14.4
1996-12-31 00:00:00,PL,-1.9
1997-03-31 00:00:00,EU15,2.0
1997-03-31 00:00:00,V3,-4.763629384717867
1997-03-31 00:00:00,HU,0.2
1997-03-31 00:00:00,CZ,-7.0
1997-03-31 00:00:00,SK,-11.2
1997-03-31 00:00:00,PL,-3.0
1997-06-30 00:00:00,EU15,2.2
1997-06-30 00:00:00,V3,-4.71903816846639
1997-06-30 00:00:00,HU,0.9
1997-06-30 00:00:00,CZ,-5.8
1997-06-30 00:00:00,SK,-11.2
1997-06-30 00:00:00,PL,-3.4
1997-09-30 00:00:00,EU15,2.3
1997-09-30 00:00:00,V3,-4.38862402481865
1997-09-30 00:00:00,HU,1.9
1997-09-30 00:00:00,CZ,-4.1
1997-09-30 00:00:00,SK,-9.9
1997-09-30 00:00:00,PL,-3.7
1997-12-31 00:00:00,EU15,2.2
1997-12-31 00:00:00,V3,-4.498327223470474
1997-12-31 00:00:00,HU,1.7
1997-12-31 00:00:00,CZ,-1.5
1997-12-31 00:00:00,SK,-6.6
1997-12-31 00:00:00,PL,-5.3
1998-03-31 00:00:00,EU15,1.8
1998-03-31 00:00:00,V3,-5.021834566849475
1998-03-31 00:00:00,HU,0.3
1998-03-31 00:00:00,CZ,-1.2
1998-03-31 00:00:00,SK,-11.4
1998-03-31 00:00:00,PL,-5.5
1998-06-30 00:00:00,EU15,1.7
1998-06-30 00:00:00,V3,-3.742965023916233
1998-06-30 00:00:00,HU,-1.0
1998-06-30 00:00:00,CZ,0.8
1998-06-30 00:00:00,SK,-12.1
1998-06-30 00:00:00,PL,-4.3
1998-09-30 00:00:00,EU15,1.7
1998-09-30 00:00:00,V3,-4.633848831291267
1998-09-30 00:00:00,HU,-2.2
1998-09-30 00:00:00,CZ,-0.1
1998-09-30 00:00:00,SK,-11.4
1998-09-30 00:00:00,PL,-5.5
1998-12-31 00:00:00,EU15,1.4
1998-12-31 00:00:00,V3,-4.607868873166221
1998-12-31 00:00:00,HU,-2.0
1998-12-31 00:00:00,CZ,-1.5
1998-12-31 00:00:00,SK,-8.7
1998-12-31 00:00:00,PL,-5.3
1999-03-31 00:00:00,EU15,1.0
1999-03-31 00:00:00,V3,-4.794592469141235
1999-03-31 00:00:00,HU,-1.6
1999-03-31 00:00:00,CZ,-1.3
1999-03-31 00:00:00,SK,-4.9
1999-03-31 00:00:00,PL,-6.1
1999-06-30 00:00:00,EU15,1.2
1999-06-30 00:00:00,V3,-4.784436813090838
1999-06-30 00:00:00,HU,-3.3
1999-06-30 00:00:00,CZ,-0.1
1999-06-30 00:00:00,SK,-6.9
1999-06-30 00:00:00,PL,-6.3
1999-09-30 00:00:00,EU15,1.2
1999-09-30 00:00:00,V3,-3.8557425110688595
1999-09-30 00:00:00,HU,-3.0
1999-09-30 00:00:00,CZ,0.8
1999-09-30 00:00:00,SK,-3.8
1999-09-30 00:00:00,PL,-5.6
1999-12-31 00:00:00,EU15,1.0
1999-12-31 00:00:00,V3,-4.528847078043215
1999-12-31 00:00:00,HU,-2.1
1999-12-31 00:00:00,CZ,-1.6
1999-12-31 00:00:00,SK,-2.4
1999-12-31 00:00:00,PL,-5.8
2000-03-31 00:00:00,EU15,0.6
2000-03-31 00:00:00,V3,-5.354837095380997
2000-03-31 00:00:00,HU,-2.7
2000-03-31 00:00:00,CZ,-1.9
2000-03-31 00:00:00,SK,-3.4
2000-03-31 00:00:00,PL,-6.8
2000-06-30 00:00:00,EU15,0.5
2000-06-30 00:00:00,V3,-5.061230898884123
2000-06-30 00:00:00,HU,-1.8
2000-06-30 00:00:00,CZ,-1.9
